"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_CC_PEM_PERC","e-mail","0033","ict sector","W_GE10","10 and over","2020","2020",79.06,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W10_49","10-49","2014","2014",34.46,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W10_49","10-49","2016","2016",18.18,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W10_49","10-49","2018","2018",18.5,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W10_49","10-49","2020","2020",55.7,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE10","10 and over","2014","2014",34.68,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE10","10 and over","2016","2016",19.02,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE10","10 and over","2018","2018",19.66,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE10","10 and over","2020","2020",56.73,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W50_99","50-99","2014","2014",38.5,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W50_99","50-99","2016","2016",25.48,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W50_99","50-99","2018","2018",25.71,,
